,precision,recall,f1-score,support,ROC-AUC
coral,0.8870523415977961,0.9252873563218391,0.9057665260196907,348.0,0.9850115488142005
crab,0.9,0.8181818181818182,0.8571428571428572,11.0,0.9983533019135767
diver,1.0,1.0,1.0,13.0,1.0
eel,0.76,0.926829268292683,0.8351648351648352,41.0,0.9971433450808092
fish,0.9182156133828996,0.9182156133828996,0.9182156133828996,538.0,0.9867448235758344
fishInGroups,0.8064516129032258,0.6944444444444444,0.746268656716418,72.0,0.9923701298701298
flatworm,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0,0.9982200413720113
jellyfish,0.9259259259259259,1.0,0.9615384615384615,25.0,0.9997731568998109
marine_dolphin,0.7777777777777778,0.7,0.7368421052631577,10.0,0.9983770287141074
octopus,1.0,0.6,0.7499999999999999,10.0,0.9870786516853932
rayfish,0.9583333333333334,0.968421052631579,0.9633507853403142,95.0,0.9987232418554627
seaAnemone,0.9154929577464789,0.8823529411764706,0.8986175115207373,221.0,0.9940925991587809
seaCucumber,1.0,0.9,0.9473684210526316,10.0,0.999250936329588
seaSlug,0.9473684210526315,0.9,0.9230769230769231,20.0,0.9991206030150754
seaUrchin,0.7878787878787878,0.896551724137931,0.8387096774193549,29.0,0.9987365761212887
shark,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0,0.9988105857865002
shrimp,1.0,0.9090909090909091,0.9523809523809523,11.0,0.9997728692294588
squid,1.0,0.8,0.888888888888889,10.0,0.9968789013732835
starfish,0.9743589743589743,0.95,0.9620253164556962,40.0,0.9993956743002544
turtle,0.9868421052631579,0.9868421052631579,0.9868421052631579,76.0,0.9997087445175439
accuracy,0.9069478908188585,0.9069478908188585,0.9069478908188585,0.9069478908188585,
macro avg,0.9140370293131863,0.8732238171117735,0.8891609173822845,1612.0,
weighted avg,0.9080455138910764,0.9069478908188585,0.90642954654233,1612.0,
